Germany,1
Andorra,1177  
United Arab Emirates,4815  
Afghanistan,4921  
Antigua and Barbuda,7307  
Anguilla,7298  
Albania,1339  
Armenia,2924  
Angola,6972  
Antarctica,16327  
Argentina,12280  
American Samoa,15915  
Austria,503  
Australia,14466  
Aruba,8261  
Aland Islands,1162  
Azerbaijan,3094  
Bosnia and Herzegovina,971  
Barbados,7478  
Bangladesh,7291  
Belgium,426  
Burkina Faso,4463  
Bulgaria,1472  
Bahrain,4377  
Burundi,6340  
Benin,4714  
Saint Barthelemy,7309  
Bermuda,6284  
Brunei,10598  
Bolivia,10345  
Bonaire Saint Eustatius and Saba,8169  
Brazil,9432  
Bahamas,7723  
Bhutan,6987  
Bouvet Island,11759  
Botswana,8290  
Belarus,1216  
Canada,6751  
Cocos Islands,10810  
Democratic Republic of the Congo,6232  
Central African Republic,5048  
Republic of the Congo,5737  
Switzerland,510  
Ivory Coast,5069  
Cook Islands,16580  
Chile,12514  
Cameroon,4873  
China,7224  
Colombia,9246  
Costa Rica,9455  
Cuba,8041  
Cape Verde,5025  
Curacao,8223  
Christmas Island,11275  
Cyprus,2560  
Czech Republic,385  
Denmark,570  
Dominica,7416  
Dominican Republic,7750  
Algeria,2676  
Ecuador,10071  
Estonia,1240  
Egypt,3205  
Western Sahara,3599  
Eritrea,4779  
Spain,1617  
Ethiopia,5417  
Finland,1512  
Fiji,16138  
Falkland Islands,13192  
Micronesia,12862  
Faroe Islands,1589  
France,816  
Gabon,5780  
United Kingdom,1033  
Grenada,7718  
French Guiana,7853  
Guernsey,943  
Ghana,4920  
Gibraltar,2090  
Greenland,3438  
Gambia,4791  
Guinea,4938  
Equatorial Guinea,5506  
Greece,1610  
South Georgia and the South Sandwich Islands,12526  
Guam,11586  
Guinea-Bissau,4953  
Guyana,8159  
Hong Kong,8984  
Heard Island and McDonald Islands,12996  
Honduras,9153  
Croatia,761  
Haiti,7877  
Hungary,794  
Indonesia,11011  
Ireland,1292  
Israel,3002  
Isle of Man,1064  
India,6752  
British Indian Ocean Territory,8771  
Iraq,3341  
Iran,4064  
Iceland,2277  
Italy,1046  
Jersey,920  
Jamaica,8295  
Jordan,3121  
Japan,9048  
Kenya,6250  
Kyrgyzstan,4908  
Cambodia,9235  
Kiribati,14006  
Comoros,7671  
Saint Kitts and Nevis,7351  
North Korea,8154  
South Korea,8570  
Kosovo,1237  
Kuwait,3906  
Cayman Islands,8463  
Kazakhstan,3984  
Laos,8440  
Lebanon,2810  
Liechtenstein,449  
Sri Lanka,7960  
Liberia,5302  
Lesotho,9150  
Lithuania,998  
Latvia,1118  
Libya,2820  
Morocco,2589  
Monaco,856  
Moldova,1361  
Montenegro,1157  
Saint Martin,7309  
Madagascar,8547  
Marshall Islands,12625  
Macedonia,1368  
Mali,3948  
Myanmar,7822  
Mongolia,6350  
Macao,8966  
Northern Mariana Islands,11466  
Mauritania,3834  
Montserrat,7361  
Malta,1722  
Mauritius,9181  
Maldives,7996  
Malawi,7527  
Malaysia,9749  
Mozambique,8141  
Namibia,8280  
New Caledonia,16018  
Norfolk Island,16922  
Nigeria,4682  
Nicaragua,9285  
Netherlands,372  
Norway,1042  
Nepa,16482  
Nauru,13966  
Niue,16444  
New Zealand,18364  
Oman,5114  
Peru,10489  
French Polynesia,15889  
Papua New Guinea,13452  
Philippines,10318  
Pakistan,5301  
Poland,607  
Saint Pierre and Miquelon,4722  
Pitcairn,15421  
Puerto Rico,7544  
Palestinian Territory,2946  
Portugal,1951  
Palau,11597  
Paraguay,10663  
Qatar,4478  
Romania,1213  
Serbia,1120  
Russia,5421  
Rwanda,6185  
Saudi Arabia,4234  
Solomon Islands,14636  
Seychelles,7537  
Sudan,4617  
South Sudan,5286  
Sweden,1119  
Singapore,10125  
Slovenia,650  
Svalbard and Jan Mayen,2985  
Slovakia,717  
Sierra Leone,5167  
Senegal,4646  
Somalia,6090  
Suriname,8047  
Sao Tome and Principe,5680  
El Salvador,9454  
Sint Maarten,7312  
Syria,2918  
Swaziland,8881  
Turks and Caicos Islands,7617  
Chad,4039  
French Southern Territories,12485  
Togo,4813  
Thailand,8677  
Tajikistan,4824  
Tokelau,15344
East Timor,12523
Tunisia,1923  
Tonga,16645  
Turkey,2355  
Trinidad and Tobago,7809  
Tuvalu,15038  
Tanzania,6811  
Ukraine,1514  
Uganda,5903  
United States Minor Outlying Islands,11844  
United States,7861  
Uruguay,11327  
Uzbekistan,4199  
Vatican,1041  
Saint Vincent and the Grenadines,7588  
Venezuela,8549  
British Virgin Islands,7391  
US Virgin Islands,7416  
Vietnam,9328  
Vanuatu,15518  
Wallis and Futuna,15844  
Samoa,15849  
Yemen,5204  
Mayotte,7867  
South Africa,9170  
Zambia,7346  
Zimbabwe,8015  
Netherlands Antilles,8169  
Belize,9132  
Djibouti,5249  
Georgia,2666  
Guadeloupe,7357  
Guatemala,9369  
Saint Lucia,7517  
Luxembourg,341  
Martinique,7458  
Mexico,9448  
Niger,3737  
Panama,9355  
Reunion,9162  
Saint Helena,7629  
San Marino,817  
Taiwan,9293  
